funcname,n,seconds
shell-sort(gaps6),10,1.33333e-06
shell-sort(gaps6),100,1.3e-05
shell-sort(gaps6),1000,0.000193667
shell-sort(gaps6),10000,0.00206533
shell-sort(gaps6),100000,0.0211983
shell-sort(gaps6),1000000,0.223543
