funcname,n,seconds
annealing-sort(temps6, reps6,10,4.4e-05
annealing-sort(temps6, reps6,100,0.000309
annealing-sort(temps6, reps6,1000,0.00296
annealing-sort(temps6, reps6,10000,0.0303523
annealing-sort(temps6, reps6,100000,0.306749
annealing-sort(temps6, reps6,1000000,3.05358
