funcname,n,seconds
shell-sort(gaps5),10,6.33333e-06
shell-sort(gaps5),100,6.66667e-07
shell-sort(gaps5),1000,5.76667e-05
shell-sort(gaps5),10000,0.000684333
shell-sort(gaps5),100000,0.00710767
shell-sort(gaps5),1000000,0.072713
