funcname,n,seconds
shell-sort(gaps5),10,0
shell-sort(gaps5),100,0
shell-sort(gaps5),1000,0
shell-sort(gaps5),10000,0.00333333
shell-sort(gaps5),100000,0.266667
shell-sort(gaps5),1000000,25.0933
